Order ID,Order Date,Ship Mode,Segment,Region,Category,Sub-Category,Product Name,Sales,Cost
CA-2023-126614,04/13/2023,First Class,Corporate,East,Furniture,Chairs,Chairs Product 69,556.7,496.73
CA-2023-170792,03/11/2024,Second Class,Home Office,East,Technology,Copiers,Copiers Product 40,1061.56,671.93
CA-2023-141832,09/28/2023,Standard Class,Corporate,Central,Office Supplies,Envelopes,Envelopes Product 35,104.34,84.97
CA-2023-120611,04/17/2023,Standard Class,Consumer,West,Furniture,Chairs,Chairs Product 18,259.66,226.77
CA-2023-173340,03/13/2023,Second Class,Consumer,Central,Technology,Machines,Machines Product 15,1725.78,1099.3
CA-2023-118381,12/01/2024,Standard Class,Home Office,West,Office Supplies,Paper,Paper Product 70,173.25,135.69
CA-2023-156819,01/21/2023,First Class,Home Office,West,Technology,Machines,Machines Product 94,1693.26,1122.77
CA-2023-144028,09/06/2024,Standard Class,Home Office,Central,Technology,Copiers,Copiers Product 68,2283.65,1496.77
CA-2023-146197,05/02/2023,Second Class,Consumer,East,Office Supplies,Binders,Binders Product 88,70.15,51.93
CA-2023-184291,04/11/2024,Same Day,Consumer,Central,Office Supplies,Labels,Labels Product 95,73.02,56.29
CA-2023-171315,08/03/2023,First Class,Corporate,South,Office Supplies,Envelopes,Envelopes Product 38,70.72,56.56
CA-2023-175916,11/27/2023,Same Day,Corporate,East,Office Supplies,Binders,Binders Product 97,175.36,142.49
CA-2023-180879,04/03/2024,Same Day,Consumer,South,Furniture,Furnishings,Furnishings Product 72,527.04,494.72
CA-2023-186066,03/29/2023,Standard Class,Corporate,South,Office Supplies,Paper,Paper Product 86,78.95,59.75
CA-2023-101645,01/08/2024,Same Day,Corporate,Central,Technology,Phones,Phones Product 1,412.48,258.53
CA-2023-111694,04/10/2023,Standard Class,Consumer,West,Technology,Machines,Machines Product 52,620.15,418.35
CA-2023-149688,10/25/2024,Second Class,Home Office,South,Office Supplies,Binders,Binders Product 7,46.94,36.68
CA-2023-141914,05/11/2023,Same Day,Home Office,East,Office Supplies,Binders,Binders Product 24,121.54,92.25
CA-2023-137148,10/23/2024,First Class,Home Office,West,Office Supplies,Envelopes,Envelopes Product 28,61.95,44.8
CA-2023-149840,11/05/2023,Same Day,Corporate,South,Office Supplies,Paper,Paper Product 63,45.76,32.87
CA-2023-141949,12/10/2023,First Class,Home Office,East,Technology,Phones,Phones Product 83,1085.34,779.15
CA-2023-190397,05/06/2024,Same Day,Home Office,East,Office Supplies,Fasteners,Fasteners Product 78,27.91,23.12
CA-2023-126737,02/18/2024,Second Class,Corporate,Central,Office Supplies,Binders,Binders Product 4,70.61,54.82
CA-2023-199785,01/21/2024,First Class,Corporate,West,Furniture,Chairs,Chairs Product 97,124.01,106.63
CA-2023-176534,07/11/2023,First Class,Home Office,Central,Furniture,Furnishings,Furnishings Product 72,802.25,679.84
CA-2023-185595,10/04/2023,First Class,Corporate,Central,Furniture,Bookcases,Bookcases Product 88,564.45,477.08
CA-2023-186925,06/10/2023,First Class,Home Office,South,Office Supplies,Fasteners,Fasteners Product 7,107.31,83.87
CA-2023-136220,04/04/2024,First Class,Consumer,West,Office Supplies,Paper,Paper Product 2,29.83,24.75
CA-2023-199713,11/10/2023,First Class,Home Office,East,Technology,Phones,Phones Product 20,1195.7,867.82
CA-2023-162516,01/22/2023,Same Day,Home Office,South,Office Supplies,Fasteners,Fasteners Product 86,99.91,78.51
CA-2023-190093,09/10/2023,First Class,Consumer,West,Office Supplies,Paper,Paper Product 81,113.54,87.5
CA-2023-155029,07/14/2024,Second Class,Home Office,West,Office Supplies,Binders,Binders Product 26,81.58,65.18
CA-2023-156133,04/19/2024,Second Class,Consumer,Central,Office Supplies,Labels,Labels Product 41,94.45,70.67
CA-2023-178411,02/28/2023,First Class,Consumer,East,Office Supplies,Paper,Paper Product 85,56.53,43.5
CA-2023-146828,05/25/2024,Standard Class,Consumer,East,Office Supplies,Fasteners,Fasteners Product 45,93.21,74.56
CA-2023-186145,11/12/2024,Same Day,Corporate,Central,Technology,Phones,Phones Product 51,1389.57,954.59
CA-2023-189599,04/20/2024,Same Day,Consumer,Central,Furniture,Bookcases,Bookcases Product 99,259.38,234.01
CA-2023-189399,11/30/2024,Standard Class,Corporate,East,Technology,Machines,Machines Product 20,2440.68,1543.71
CA-2023-145420,07/09/2023,First Class,Corporate,West,Furniture,Furnishings,Furnishings Product 66,99.59,88.57
CA-2023-100060,11/17/2024,First Class,Corporate,West,Furniture,Chairs,Chairs Product 35,523.14,470.48
CA-2023-120581,07/16/2024,Second Class,Home Office,West,Technology,Phones,Phones Product 59,164.24,103.28
CA-2023-157134,07/20/2024,Same Day,Corporate,South,Technology,Phones,Phones Product 83,1817.67,1206.02
CA-2023-158053,09/01/2023,Same Day,Consumer,South,Office Supplies,Labels,Labels Product 12,103.7,77.11
CA-2023-127935,05/19/2024,Second Class,Home Office,South,Office Supplies,Binders,Binders Product 26,13.21,9.9
CA-2023-124070,05/11/2023,Standard Class,Home Office,South,Office Supplies,Binders,Binders Product 59,42.5,34.72
CA-2023-119426,04/29/2024,Second Class,Home Office,Central,Technology,Accessories,Accessories Product 17,1504.84,1143.09
CA-2023-182050,10/08/2024,Standard Class,Home Office,West,Office Supplies,Art,Art Product 55,75.52,58.26
CA-2023-107564,01/21/2023,Second Class,Consumer,South,Office Supplies,Paper,Paper Product 42,74.81,56.15
CA-2023-129430,06/16/2023,Standard Class,Consumer,West,Technology,Accessories,Accessories Product 96,209.43,134.16
CA-2023-161916,10/01/2023,Second Class,Consumer,West,Office Supplies,Fasteners,Fasteners Product 16,51.86,38.32
CA-2023-124574,01/23/2024,First Class,Consumer,Central,Technology,Machines,Machines Product 49,872.97,657.6
CA-2023-132913,08/23/2024,Second Class,Consumer,East,Furniture,Tables,Tables Product 65,321.28,272.75
CA-2023-189431,11/12/2023,Same Day,Home Office,South,Technology,Machines,Machines Product 61,1483.69,1048.32
CA-2023-129757,01/14/2023,Standard Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 52,61.46,44.67
CA-2023-141844,08/30/2023,First Class,Consumer,East,Furniture,Furnishings,Furnishings Product 98,868.67,757.05
CA-2023-181412,12/12/2023,Standard Class,Corporate,South,Office Supplies,Paper,Paper Product 49,46.19,34.07
CA-2023-107657,07/18/2024,First Class,Corporate,West,Office Supplies,Envelopes,Envelopes Product 17,122.88,99.52
CA-2023-133660,12/06/2023,First Class,Consumer,West,Furniture,Furnishings,Furnishings Product 14,681.84,596.3
CA-2023-197820,04/02/2023,Standard Class,Home Office,South,Technology,Machines,Machines Product 76,1832.83,1328.45
CA-2023-150106,01/02/2024,Second Class,Home Office,East,Furniture,Bookcases,Bookcases Product 5,613.24,541.43
CA-2023-103020,03/30/2024,Same Day,Consumer,South,Furniture,Tables,Tables Product 40,119.98,110.78
CA-2023-101591,03/03/2024,Same Day,Corporate,West,Technology,Accessories,Accessories Product 77,1438.11,929.37
CA-2023-167675,05/23/2024,Standard Class,Home Office,South,Office Supplies,Fasteners,Fasteners Product 41,74.89,54.52
CA-2023-186206,02/04/2023,First Class,Corporate,East,Office Supplies,Labels,Labels Product 5,95.21,71.26
CA-2023-178249,07/25/2023,Second Class,Home Office,East,Technology,Accessories,Accessories Product 39,1175.38,751.66
CA-2023-191659,03/22/2023,First Class,Corporate,East,Furniture,Furnishings,Furnishings Product 46,543.51,467.14
CA-2023-112987,07/15/2024,Same Day,Consumer,Central,Office Supplies,Paper,Paper Product 70,81.41,65.02
CA-2023-101435,01/23/2024,Same Day,Home Office,South,Office Supplies,Binders,Binders Product 93,63.02,46.06
CA-2023-150192,01/02/2023,Same Day,Corporate,Central,Office Supplies,Envelopes,Envelopes Product 65,85.37,70.35
CA-2023-137567,01/25/2024,First Class,Consumer,West,Furniture,Furnishings,Furnishings Product 99,99.54,84.31
CA-2023-107813,07/19/2024,First Class,Home Office,Central,Office Supplies,Envelopes,Envelopes Product 75,8.84,7.34
CA-2023-114288,04/16/2023,First Class,Consumer,South,Office Supplies,Binders,Binders Product 15,26.0,20.1
CA-2023-178797,04/21/2024,Same Day,Corporate,East,Office Supplies,Labels,Labels Product 67,45.62,33.35
CA-2023-139214,12/03/2024,Same Day,Consumer,West,Technology,Copiers,Copiers Product 6,327.78,215.73
CA-2023-119982,02/06/2024,Second Class,Consumer,East,Office Supplies,Labels,Labels Product 25,126.24,98.48
CA-2023-199911,12/30/2024,Same Day,Corporate,East,Office Supplies,Binders,Binders Product 93,169.17,130.67
CA-2023-161788,07/09/2024,Same Day,Consumer,South,Office Supplies,Art,Art Product 3,115.28,85.25
CA-2023-111536,06/11/2023,Second Class,Consumer,East,Furniture,Bookcases,Bookcases Product 60,438.93,411.14
CA-2023-182503,07/21/2023,First Class,Consumer,East,Furniture,Tables,Tables Product 21,335.24,294.44
CA-2023-126143,09/27/2023,First Class,Consumer,Central,Furniture,Furnishings,Furnishings Product 41,414.67,346.66
CA-2023-139499,09/28/2023,Standard Class,Corporate,East,Furniture,Tables,Tables Product 80,655.86,611.87
CA-2023-122431,03/31/2024,Second Class,Consumer,West,Office Supplies,Envelopes,Envelopes Product 33,94.11,71.73
CA-2023-150069,04/06/2024,First Class,Corporate,South,Technology,Accessories,Accessories Product 90,193.88,146.48
CA-2023-125003,12/27/2024,Standard Class,Home Office,East,Office Supplies,Binders,Binders Product 6,150.49,124.56
CA-2023-164881,09/09/2023,Same Day,Corporate,West,Office Supplies,Paper,Paper Product 84,13.0,9.94
CA-2023-198511,12/02/2024,Same Day,Corporate,Central,Office Supplies,Art,Art Product 26,101.95,76.53
CA-2023-115313,10/23/2023,Second Class,Home Office,Central,Office Supplies,Paper,Paper Product 25,26.5,20.58
CA-2023-170316,12/25/2024,Same Day,Consumer,Central,Technology,Accessories,Accessories Product 55,1211.84,840.94
CA-2023-100661,12/20/2024,Standard Class,Consumer,West,Furniture,Furnishings,Furnishings Product 28,810.27,699.78
CA-2023-198656,12/04/2023,First Class,Consumer,South,Furniture,Bookcases,Bookcases Product 31,359.57,323.13
CA-2023-139443,02/22/2023,Same Day,Corporate,South,Office Supplies,Envelopes,Envelopes Product 96,87.2,64.73
CA-2023-143585,08/05/2023,First Class,Corporate,Central,Office Supplies,Binders,Binders Product 39,95.87,73.9
CA-2023-148364,07/07/2023,Second Class,Consumer,Central,Office Supplies,Art,Art Product 99,40.66,31.97
CA-2023-166061,01/15/2024,Second Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 69,112.91,91.36
CA-2023-199950,05/07/2024,Second Class,Home Office,West,Furniture,Chairs,Chairs Product 2,277.94,235.42
CA-2023-167649,02/10/2023,First Class,Consumer,East,Furniture,Chairs,Chairs Product 65,410.4,343.31
CA-2023-152233,06/06/2023,First Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 74,125.38,97.13
CA-2023-179530,01/15/2023,Same Day,Consumer,East,Office Supplies,Envelopes,Envelopes Product 84,107.71,83.74
CA-2023-192324,03/06/2023,Standard Class,Consumer,Central,Office Supplies,Art,Art Product 56,99.9,74.96
CA-2023-120337,06/04/2024,Second Class,Corporate,East,Office Supplies,Fasteners,Fasteners Product 37,30.02,24.55
CA-2023-176260,12/10/2023,Standard Class,Home Office,West,Technology,Phones,Phones Product 51,2042.92,1494.01
CA-2023-165661,05/09/2023,Second Class,Consumer,West,Furniture,Tables,Tables Product 57,390.49,348.03
CA-2023-112115,10/09/2024,First Class,Corporate,West,Office Supplies,Art,Art Product 80,68.59,51.44
