Order ID,Order Date,Ship Mode,Segment,Region,Category,Sub-Category,Product Name,Sales,Cost,Profit,Month / Year
CA-2023-126614,2023-04-13,First Class,Corporate,East,Furniture,Chairs,Chairs Product 69,556.7,496.73,59.97000000000003,Apr 2023
CA-2023-170792,2024-03-11,Second Class,Home Office,East,Technology,Copiers,Copiers Product 40,1061.56,671.93,389.63,Mar 2024
CA-2023-141832,2023-09-28,Standard Class,Corporate,Central,Office Supplies,Envelopes,Envelopes Product 35,104.34,84.97,19.370000000000005,Sep 2023
CA-2023-120611,2023-04-17,Standard Class,Consumer,West,Furniture,Chairs,Chairs Product 18,259.66,226.77,32.890000000000015,Apr 2023
CA-2023-173340,2023-03-13,Second Class,Consumer,Central,Technology,Machines,Machines Product 15,1725.78,1099.3,626.48,Mar 2023
CA-2023-118381,2024-12-01,Standard Class,Home Office,West,Office Supplies,Paper,Paper Product 70,173.25,135.69,37.56,Dec 2024
CA-2023-156819,2023-01-21,First Class,Home Office,West,Technology,Machines,Machines Product 94,1693.26,1122.77,570.49,Jan 2023
CA-2023-144028,2024-09-06,Standard Class,Home Office,Central,Technology,Copiers,Copiers Product 68,2283.65,1496.77,786.8800000000001,Sep 2024
CA-2023-146197,2023-05-02,Second Class,Consumer,East,Office Supplies,Binders,Binders Product 88,70.15,51.93,18.220000000000006,May 2023
CA-2023-184291,2024-04-11,Same Day,Consumer,Central,Office Supplies,Labels,Labels Product 95,73.02,56.29,16.729999999999997,Apr 2024
CA-2023-171315,2023-08-03,First Class,Corporate,South,Office Supplies,Envelopes,Envelopes Product 38,70.72,56.56,14.159999999999997,Aug 2023
CA-2023-175916,2023-11-27,Same Day,Corporate,East,Office Supplies,Binders,Binders Product 97,175.36,142.49,32.870000000000005,Nov 2023
CA-2023-180879,2024-04-03,Same Day,Consumer,South,Furniture,Furnishings,Furnishings Product 72,527.04,494.72,32.319999999999936,Apr 2024
CA-2023-186066,2023-03-29,Standard Class,Corporate,South,Office Supplies,Paper,Paper Product 86,78.95,59.75,19.200000000000003,Mar 2023
CA-2023-101645,2024-01-08,Same Day,Corporate,Central,Technology,Phones,Phones Product 1,412.48,258.53,153.95000000000005,Jan 2024
CA-2023-111694,2023-04-10,Standard Class,Consumer,West,Technology,Machines,Machines Product 52,620.15,418.35,201.79999999999995,Apr 2023
CA-2023-149688,2024-10-25,Second Class,Home Office,South,Office Supplies,Binders,Binders Product 7,46.94,36.68,10.259999999999998,Oct 2024
CA-2023-141914,2023-05-11,Same Day,Home Office,East,Office Supplies,Binders,Binders Product 24,121.54,92.25,29.290000000000006,May 2023
CA-2023-137148,2024-10-23,First Class,Home Office,West,Office Supplies,Envelopes,Envelopes Product 28,61.95,44.8,17.150000000000006,Oct 2024
CA-2023-149840,2023-11-05,Same Day,Corporate,South,Office Supplies,Paper,Paper Product 63,45.76,32.87,12.89,Nov 2023
CA-2023-141949,2023-12-10,First Class,Home Office,East,Technology,Phones,Phones Product 83,1085.34,779.15,306.18999999999994,Dec 2023
CA-2023-190397,2024-05-06,Same Day,Home Office,East,Office Supplies,Fasteners,Fasteners Product 78,27.91,23.12,4.789999999999999,May 2024
CA-2023-126737,2024-02-18,Second Class,Corporate,Central,Office Supplies,Binders,Binders Product 4,70.61,54.82,15.79,Feb 2024
